Year	Mo	Dy	Country	Water Height
1900	1	10	INDONESIA	
1900	8	11	USA	
1900	9	10	PAPUA NEW GUINEA	
1900	9	17	PAPUA NEW GUINEA	3
1900	10	7	INDONESIA	
1900	10	29	VENEZUELA	10
1901	3	3	USA	
1901	3	31	BULGARIA	3
1901	6	15	JAPAN	
1901	6	24	JAPAN	0.25
1901	8	9	JAPAN	0.6
1901	8	9	NEW CALEDONIA	1.2
1901	8	9	JAPAN	0.25
1901	8	9	JAPAN	0.02
1901	9	10	PHILIPPINES	
1901	10	8	NICARAGUA	1.5
1901	12	31	USA	
1902	1	18	GUATEMALA	
1902	2	26	EL SALVADOR	5
1902	4	19	GUATEMALA	
1902	5	5	MARTINIQUE (FRENCH TERRITORY)	5
1902	5	7	SAINT VINCENT AND THE GRENADINES	1
1902	5	8	MARTINIQUE (FRENCH TERRITORY)	
1902	5	20	MARTINIQUE (FRENCH TERRITORY)	
1902	7	5	GREECE	
1902	8	16	MEXICO	
1902	8	21	PHILIPPINES	
1902	8	30	MARTINIQUE (FRENCH TERRITORY)	1
1902	9	27	GUATEMALA	
1903	2	10	USA TERRITORY	0.15
1903	3	30	INDONESIA	1
1903	5	13	ITALY	
1903	7	16	MEXICO	
1903	8		USA	
1903	9	7	TAIWAN	
1903	9	26	CHILE	
1903	10	6	USA	
1903	10	8	USA	
1903	10	20	CANADA	
1903	11	17	USA	
1903	11	24	USA	
1903	11	29	USA	15.7
1903	12	7	CHILE	
1904	1	20	COLOMBIA	
1904	2	2	INDONESIA	
1904	3	30	USA	
1904	6	25	RUSSIA	
1904	6	25	RUSSIA	
1904	7	5	INDONESIA	
1904	8	8	NEW ZEALAND	
1904	8	25	NEW ZEALAND	
1904	9	7	INDONESIA	
1904	12	20	PANAMA	
1904	12	30	COOK ISLANDS	
1905	1	16	NORWAY	40.5
1905	1	20	GREECE	
1905	1	20	COSTA RICA	
1905	1		MEXICO	
1905	3	19	VANUATU	0.6
1905	4	4	INDIA	
1905	7	4	USA	33.53
1905	7	6	JAPAN	
1905	8	4	SAMOA	
1905	9	8	ITALY	1.3
1905	10	4	RUSSIA	0.5
1905	10	21	GEORGIA	
1905	11	22	VANUATU	
1905	11	24	VANUATU	
1905	12	8	PHILIPPINES	
1905			TUNISIA	
1905			TOGO	
1906	1	31	ECUADOR	5
1906	1	31	VENEZUELA	
1906	2	7	ECUADOR	0.25
1906	2	21	COLOMBIA	
1906	4	4	ITALY	0.4
1906	4	18	USA	0.1
1906	5	7	CHILE	
1906	5	25	EL SALVADOR	
1906	7	1	"MARSHALL ISLANDS, REP. OF"	
1906	8	7	USA	0.02
1906	8	17	CHILE	3.5
1906	9	14	PAPUA NEW GUINEA	1.5
1906	10	2	PAPUA NEW GUINEA	1.2
1906	11	6	USA	
1906	11	20	GHANA	
1906	11	28	SAMOA	
1906	12	26	PERU	
1906			VENEZUELA	
1907	1	4	INDONESIA	
1907	1	14	JAMAICA	2.5
1907	3	29	INDONESIA	4
1907	4	14	MEXICO	2
1907	6	8	SAMOA	
1907	6	19	SAMOA	
1907	6	27	SAMOA	
1907	7	9	SAMOA	
1907	7	25	SAMOA	
1907	7		TONGA	
1907	9	24	USA	0.7
1907	10	6	SAMOA	3.6
1907	10	23	ITALY	
1907	12	15	PAPUA NEW GUINEA	
1908	2	6	INDONESIA	1.4
1908	2	14	USA	
1908	3	23	INDONESIA	
1908	4	6	CANADA	15
1908	5	31	UKRAINE	
1908	9	11	CANADA	
1908	9	21	USA	1.2
1908	12	12	PERU	
1908	12	28	ITALY	13
1909	3	7	COOK ISLANDS	3
1909	3	12	JAPAN	
1909	3	13	JAPAN	
1909	6	3	INDONESIA	
1909	6	8	CHILE	
1909	7	8	VANUATU	
1909	7	30	MEXICO	9
1909	8	14	JAPAN	1.8
1909	9	20	USA	
1909	12	9	USA TERRITORY	
1910	2	25	PAPUA NEW GUINEA	
1910	3	20	NEW ZEALAND	
1910	11	5	USA	
1910	11	10	VANUATU	
1910	11	21	USA	0.3
1910	12	18	INDONESIA	
1910	12	30	PHILIPPINES	
1911	1	30	PHILIPPINES	3
1911	2	18	ALBANIA	
1911	5	8	PAPUA NEW GUINEA	
1911	5	11	TOGO	5
1911	6	15	JAPAN	
1911	7	12	PHILIPPINES	
1911	9	15	CHILE	
1911	9	22	USA	
1911	11	3	TRINIDAD AND TOBAGO	
1912	1	24	GREECE	
1912	4	13	USA	
1912	6	8	JAPAN	0.5
1912	8	9	TURKEY	
1912	10	31	"MICRONESIA, FED. STATES OF"	
1912	12	6	"MICRONESIA, FED. STATES OF"	
1913	2	22	NEW ZEALAND	1.5
1913	3	14	INDONESIA	
1913	6	9	USA	
1913	7	28	PERU	
1913	8	6	PERU	
1913	10	11	PAPUA NEW GUINEA	0.1
1913	12	11	USA	4.5
1914	1	12	JAPAN	3
1914	1	12	PERU	1
1914	1	15	ITALY	
1914	2	26	PERU	
1914	3	14	INDONESIA	
1914	5	26	INDONESIA	0.1
1914	5		CANADA	
1914	6	25	INDONESIA	
1914	10	6	NEW ZEALAND	
1914	11	27	GREECE	3
1914	12	3	INDONESIA	
1915	1	27	GREECE	
1915	2	11	USA TERRITORY	2.4
1915	5	23	INDONESIA	0.5
1915	8	7	GREECE	1.5
