Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
1900,1,22,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,,25,1,,,,,,,
1900,2,16,,,*,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,2,,2,1,3,1,,,,,
1900,7,17,,,*,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,2,T,72,2,10,1,,,,,
1900,,,,,*,Tullu Moje,Africa-NE,Ethiopia,8.158,39.13,2349,Pumice cone,,,,,,,,1,,,
1901,5,22,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,,2,,,,,,,
1901,8,9,Tsu,Eq,*,Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833,Stratovolcano,,,,,,,,,,,
1902,5,5,Tsu,,*,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,,,23,1,,,,,,,
1902,5,7,Tsu,,*,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,P,1680,4,,3,,,,,
1902,5,8,Tsu,,*,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,4,P,28000,4,,,,,,,
1902,5,20,Tsu,,*,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,,,,,,,,,,,
1902,8,7,,,*,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,3,,125,3,,,,,,,
1902,8,30,Tsu,,*,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,4,P,1500,3,,,,,,,
1902,10,24,,,*,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,6,"T,G",1500,4,,,,2,,2,
1902,12,,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,P,16,1,45,1,,,,2,
1903,8,30,,,*,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,T,4,1,,,,,,,
1903,,,,,*,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,G,17,1,,,,,,,
