"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"927","2017-08-26T21:50:59.260Z",-47.2669,160.03,10,5.5,"mww",NA,53,4.704,0.66,"us","us2000ac49","2017-09-08T18:24:46.582Z","North of Macquarie Island","earthquake",7.8,1.7,0.065,23,"reviewed","us","us","North of Macquarie Island"
"1394","2017-07-25T21:12:16.740Z",-56.8636,147.6751,10,4.9,"mb",NA,75,13.972,0.53,"us","us2000a14c","2017-10-14T00:19:40.040Z","West of Macquarie Island","earthquake",11.8,1.8,0.097,33,"reviewed","us","us","West of Macquarie Island"
"1395","2017-07-25T20:56:10.960Z",-56.8674,147.55,10,4.6,"mb",NA,110,18.919,0.54,"us","us2000a28v","2017-10-14T00:19:40.040Z","West of Macquarie Island","earthquake",14.2,1.9,0.095,33,"reviewed","us","us","West of Macquarie Island"
"1569","2017-07-15T22:40:18.370Z",-58.7557,149.0795,10,5.2,"mb",NA,44,6.917,0.44,"us","us20009wp9","2017-10-06T23:56:20.040Z","West of Macquarie Island","earthquake",11.2,1.8,0.085,45,"reviewed","us","us","West of Macquarie Island"
"1765","2017-07-03T00:03:31.030Z",-59.835,148.9844,10,4.7,"mb",NA,100,17.957,0.65,"us","us100097rx","2017-10-03T00:47:46.040Z","West of Macquarie Island","earthquake",14.5,1.9,0.134,17,"reviewed","us","us","West of Macquarie Island"
"2881","2017-04-22T19:27:08.440Z",-55.6651,147.0432,10,4.6,"mb",NA,67,6.939,0.43,"us","us10008jtg","2017-07-11T01:48:41.040Z","West of Macquarie Island","earthquake",5.1,1.8,0.094,34,"reviewed","us","us","West of Macquarie Island"
"3053","2017-04-11T17:23:42.480Z",-52.4115,141.0824,10,4.5,"mb",NA,114,10.391,1.28,"us","us10008ins","2017-07-05T18:09:56.040Z","West of Macquarie Island","earthquake",9.8,1.9,0.121,20,"reviewed","us","us","West of Macquarie Island"
"3101","2017-04-09T04:43:41.990Z",-52.1167,139.687,16.52,4.6,"mb",NA,66,20.274,0.76,"us","us10008ha4","2017-07-05T18:09:53.040Z","West of Macquarie Island","earthquake",14.8,0.9,0.136,16,"reviewed","us","us","West of Macquarie Island"
"3106","2017-04-09T00:14:30.750Z",-52.1762,139.6642,10,5.5,"mww",NA,49,10.61,0.83,"us","us10008fye","2017-07-05T18:09:53.040Z","West of Macquarie Island","earthquake",4,1.7,0.103,9,"reviewed","us","us","West of Macquarie Island"
"3317","2017-03-28T04:40:35.340Z",-54.2073,142.1259,10,4.7,"mb",NA,125,9.832,0.85,"us","us20008v77","2017-06-16T23:08:00.040Z","West of Macquarie Island","earthquake",9.4,1.9,0.123,20,"reviewed","us","us","West of Macquarie Island"
"3390","2017-03-22T08:28:49.260Z",-54.1589,141.6703,10,4.8,"mb",NA,131,10.104,0.61,"us","us20008vm4","2017-06-12T19:46:53.040Z","West of Macquarie Island","earthquake",8.3,1.8,0.124,20,"reviewed","us","us","West of Macquarie Island"
"3430","2017-03-19T20:34:59.250Z",-60.0619,150.6832,10,5.3,"mwb",NA,129,7.152,0.87,"us","us20008t76","2017-06-12T19:46:50.040Z","West of Macquarie Island","earthquake",7.7,1.8,0.11,8,"reviewed","us","us","West of Macquarie Island"
"3591","2017-03-09T11:14:26.360Z",-60.1501,150.2994,10,5.9,"mww",NA,44,7.347,0.99,"us","us100087wv","2017-05-31T01:58:59.040Z","West of Macquarie Island","earthquake",5.9,1.7,0.089,12,"reviewed","us","us","West of Macquarie Island"
"3946","2017-02-15T17:58:14.050Z",-59.3933,149.4026,10,4.9,"mb",NA,119,7.163,0.95,"us","us20008k14","2017-05-13T01:03:21.040Z","West of Macquarie Island","earthquake",9.4,1.9,0.104,29,"reviewed","us","us","West of Macquarie Island"
"4370","2017-01-22T13:47:10.630Z",-57.1008,147.7829,8.53,4.9,"mb",NA,119,6.817,1.02,"us","us10007uu1","2017-04-19T18:30:55.040Z","West of Macquarie Island","earthquake",13,5.4,0.119,22,"reviewed","us","us","West of Macquarie Island"
"4609","2017-01-09T00:51:50.320Z",-60.5272,159.9388,10,5.2,"mb",NA,85,6.068,1.03,"us","us10007s2c","2017-04-01T00:26:05.040Z","Macquarie Island region","earthquake",5,1.8,0.068,71,"reviewed","us","us","Macquarie Island region"
"4745","2017-01-03T16:36:44.740Z",-57.2954,147.5104,9.08,4.6,"mb",NA,142,14.403,0.91,"us","us10007ud3","2017-03-27T23:53:20.040Z","West of Macquarie Island","earthquake",16,5,0.142,16,"reviewed","us","us","West of Macquarie Island"
"5348","2016-12-12T00:15:37.650Z",-57.5956,147.6362,10,4.9,"mb",NA,79,7.058,0.62,"us","us200082uk","2017-03-09T02:14:28.040Z","West of Macquarie Island","earthquake",12.5,1.8,0.112,25,"reviewed","us","us","West of Macquarie Island"
"5617","2016-12-04T05:59:19.660Z",-52.0961,139.5156,10,5,"mb",NA,73,15.121,0.56,"us","us10007erl","2017-03-03T07:06:02.040Z","West of Macquarie Island","earthquake",12.1,1.8,0.092,38,"reviewed","us","us","West of Macquarie Island"
"5813","2016-11-23T22:40:31.510Z",-53.6992,140.855,10,4.5,"mb",NA,155,16.446,0.32,"us","us10007e2s","2017-02-15T23:21:38.040Z","West of Macquarie Island","earthquake",12.9,2,0.135,16,"reviewed","us","us","West of Macquarie Island"
"5915","2016-11-21T08:36:25.400Z",-53.7388,140.8188,10,5,"mb",NA,52,10.674,0.75,"us","us10007b3h","2017-02-15T23:21:31.040Z","West of Macquarie Island","earthquake",5.6,1.9,0.083,47,"reviewed","us","us","West of Macquarie Island"
"5916","2016-11-21T08:31:38.350Z",-53.7502,140.5246,10,5.5,"mwb",NA,47,10.844,0.62,"us","us10007b3d","2017-02-15T23:21:31.040Z","West of Macquarie Island","earthquake",9.4,1.8,0.071,19,"reviewed","us","us","West of Macquarie Island"
"6024","2016-11-17T02:25:07.210Z",-52.1671,139.1702,10,4.6,"mb",NA,141,15.257,0.39,"us","us10007dk5","2017-02-09T03:02:32.040Z","West of Macquarie Island","earthquake",11.8,1.9,0.141,15,"reviewed","us","us","West of Macquarie Island"
"6280","2016-11-08T09:11:08.740Z",-58.1914,148.4279,10,4.6,"mb",NA,107,6.921,0.55,"us","us1000769i","2017-02-02T02:21:04.040Z","West of Macquarie Island","earthquake",8.4,1.9,0.095,33,"reviewed","us","us","West of Macquarie Island"
"6284","2016-11-08T06:25:51.630Z",-58.054,148.4633,10,4.9,"mb",NA,106,6.841,0.95,"us","us1000768s","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",8.4,1.8,0.11,28,"reviewed","us","us","West of Macquarie Island"
"6289","2016-11-08T04:27:13.180Z",-58.1552,148.5324,10,5,"mb",NA,64,6.855,0.9,"us","us1000767s","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",10.7,1.9,0.089,40,"reviewed","us","us","West of Macquarie Island"
"6290","2016-11-08T03:52:37.690Z",-58.0831,148.6567,10,4.8,"mb",NA,107,6.763,0.64,"us","us1000767m","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",8.5,1.8,0.118,22,"reviewed","us","us","West of Macquarie Island"
"6291","2016-11-08T03:09:25.410Z",-58.1134,148.1913,10,5.7,"mww",NA,44,6.997,0.99,"us","us1000767e","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",10.7,1.7,NA,NA,"reviewed","us","us","West of Macquarie Island"
"6294","2016-11-08T02:02:57.320Z",-58.0616,148.3569,10,4.8,"mb",NA,106,6.895,0.53,"us","us10007677","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",11.4,1.9,0.109,26,"reviewed","us","us","West of Macquarie Island"
"6295","2016-11-08T01:28:10.510Z",-58.1079,148.8163,10,4.5,"mb",NA,108,6.7,0.95,"us","us1000789n","2017-02-02T02:21:03.040Z","West of Macquarie Island","earthquake",13.5,2,0.121,20,"reviewed","us","us","West of Macquarie Island"
"6528","2016-10-24T13:38:07.780Z",-59.148,159.3879,10,4.5,"mb",NA,203,4.667,0.34,"us","us100072pk","2017-01-20T00:31:04.040Z","Macquarie Island region","earthquake",18.9,2,0.27,4,"reviewed","us","us","Macquarie Island region"
"6889","2016-09-30T05:27:29.660Z",-59.6023,159.4764,10,5.1,"mb",NA,90,5.125,0.74,"us","us10006u0n","2017-01-03T21:10:38.040Z","Macquarie Island region","earthquake",12.4,1.9,0.109,27,"reviewed","us","us","Macquarie Island region"
"7062","2016-09-23T07:36:42.100Z",-56.3858,147.5519,10,4.5,"mb",NA,93,6.759,0.57,"us","us10006rwv","2016-12-14T03:17:43.040Z","West of Macquarie Island","earthquake",11.4,1.9,0.096,32,"reviewed","us","us","West of Macquarie Island"
"7086","2016-09-22T20:32:39.580Z",-59.2796,160.0393,10,4.6,"mb",NA,143,4.83,0.86,"us","us10006rs0","2016-12-12T23:01:37.040Z","Macquarie Island region","earthquake",8.7,2,0.11,25,"reviewed","us","us","Macquarie Island region"
"8647","2016-07-16T06:19:23.400Z",-54.6175,145.1226,10,4.7,"mb",NA,102,16.088,0.42,"us","us20006gek","2016-09-17T01:27:46.040Z","West of Macquarie Island","earthquake",6.7,1.9,0.127,19,"reviewed","us","us","West of Macquarie Island"
"8648","2016-07-16T06:17:56.500Z",-54.6779,144.4982,10,4.7,"mb",NA,100,17.151,0.77,"us","us20006gev","2016-09-17T01:27:46.040Z","West of Macquarie Island","earthquake",7,2,0.147,14,"reviewed","us","us","West of Macquarie Island"
"8800","2016-07-08T16:48:42.820Z",-54.2339,140.8128,10,5.4,"mb",NA,131,10.592,1.08,"us","us100061yi","2016-09-08T01:50:23.040Z","West of Macquarie Island","earthquake",7.4,1.8,0.09,42,"reviewed","us","us","West of Macquarie Island"
"9042","2016-06-26T07:21:12.960Z",-56.6174,146.9313,10,5,"mb",NA,50,7.143,0.69,"us","us200066wj","2016-08-31T03:08:16.040Z","West of Macquarie Island","earthquake",3.9,1.8,0.092,38,"reviewed","us","us","West of Macquarie Island"
"9044","2016-06-26T05:18:03.840Z",-53.1898,140.434,10,4.8,"mb",NA,91,11.265,0.87,"us","us200066w8","2016-08-31T03:08:16.040Z","West of Macquarie Island","earthquake",12.5,1.9,0.109,26,"reviewed","us","us","West of Macquarie Island"
