"","t","pd","Country","Mag"
"1",1,0.98175103281712,"chile",6
"2",2,0.999666975196758,"chile",6
"3",3,0.999993922641295,"chile",6
"4",4,0.99999988909448,"chile",6
"5",5,0.999999997976089,"chile",6
"6",6,0.999999999963066,"chile",6
"7",7,0.999999999999326,"chile",6
"8",8,0.999999999999988,"chile",6
"9",9,1,"chile",6
"10",10,1,"chile",6
"11",11,1,"chile",6
"12",12,1,"chile",6
"13",13,1,"chile",6
"14",14,1,"chile",6
"15",15,1,"chile",6
"16",16,1,"chile",6
"17",17,1,"chile",6
"18",18,1,"chile",6
"19",19,1,"chile",6
"20",20,1,"chile",6
"21",21,1,"chile",6
"22",22,1,"chile",6
"23",23,1,"chile",6
"24",24,1,"chile",6
"25",25,1,"chile",6
"26",26,1,"chile",6
"27",27,1,"chile",6
"28",28,1,"chile",6
"29",29,1,"chile",6
"30",30,1,"chile",6
"31",31,1,"chile",6
"32",32,1,"chile",6
"33",33,1,"chile",6
"34",34,1,"chile",6
"35",35,1,"chile",6
"36",36,1,"chile",6
"37",37,1,"chile",6
"38",38,1,"chile",6
"39",39,1,"chile",6
"40",40,1,"chile",6
"41",41,1,"chile",6
"42",42,1,"chile",6
"43",43,1,"chile",6
"44",44,1,"chile",6
"45",45,1,"chile",6
"46",46,1,"chile",6
"47",47,1,"chile",6
"48",48,1,"chile",6
"49",49,1,"chile",6
"50",50,1,"chile",6
"51",51,1,"chile",6
"52",52,1,"chile",6
"53",53,1,"chile",6
"54",54,1,"chile",6
"55",55,1,"chile",6
"56",56,1,"chile",6
"57",57,1,"chile",6
"58",58,1,"chile",6
"59",59,1,"chile",6
"60",60,1,"chile",6
"61",61,1,"chile",6
"62",62,1,"chile",6
"63",63,1,"chile",6
"64",64,1,"chile",6
"65",65,1,"chile",6
"66",66,1,"chile",6
"67",67,1,"chile",6
"68",68,1,"chile",6
"69",69,1,"chile",6
"70",70,1,"chile",6
"71",71,1,"chile",6
"72",72,1,"chile",6
"73",73,1,"chile",6
"74",74,1,"chile",6
"75",75,1,"chile",6
"76",76,1,"chile",6
"77",77,1,"chile",6
"78",78,1,"chile",6
"79",79,1,"chile",6
"80",80,1,"chile",6
"81",1,0.309129702226951,"chile",6.5
