"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"27","2017-10-22T04:10:58.410Z",-42.4524,173.5134,10,4.9,"mb",NA,92,0.041,0.89,"us","us1000avga","2017-10-22T04:47:32.457Z","14km WSW of Kaikoura, New Zealand","earthquake",6.9,1.9,0.094,36,"reviewed","us","us","New Zealand"
"41","2017-10-20T10:36:50.520Z",-30.0962,-177.0816,10,4.7,"mb",NA,179,1.124,0.49,"us","us1000auii","2017-10-21T22:38:44.545Z","121km SE of Raoul Island, New Zealand","earthquake",6.9,2,0.13,18,"reviewed","us","us","New Zealand"
"42","2017-10-20T09:55:59.860Z",-30.4776,-177.2527,20.04,5.2,"mb",NA,81,1.361,0.99,"us","us1000auhb","2017-10-20T10:15:24.040Z","148km SSE of Raoul Island, New Zealand","earthquake",9,5.7,0.09,41,"reviewed","us","us","New Zealand"
"53","2017-10-19T22:18:52.290Z",-26.9349,-176.4596,14.56,4.7,"mb",NA,121,2.642,0.93,"us","us1000aueg","2017-10-21T03:04:44.040Z","294km NNE of Raoul Island, New Zealand","earthquake",9.7,3.8,0.086,41,"reviewed","us","us","New Zealand"
"58","2017-10-19T07:44:23.710Z",-37.4072,178.8816,29.09,4.6,"mb",NA,206,0.482,1.3,"us","us1000au09","2017-10-19T08:04:39.040Z","158km NNE of Gisborne, New Zealand","earthquake",10,8.1,0.141,15,"reviewed","us","us","New Zealand"
"158","2017-10-09T18:15:04.670Z",-33.1192,-179.1188,35,4.6,"mb",NA,144,3.994,1.25,"us","us1000ata7","2017-10-24T19:30:43.040Z","188km S of L'Esperance Rock, New Zealand","earthquake",10.5,2,0.145,14,"reviewed","us","us","New Zealand"
"160","2017-10-09T15:54:50.900Z",-39.0736,174.8498,227.04,4.6,"mb",NA,94,0.559,0.58,"us","us2000b32a","2017-10-10T19:44:02.040Z","54km ESE of Waitara, New Zealand","earthquake",9.5,7.7,0.387,2,"reviewed","us","us","New Zealand"
"191","2017-10-07T14:13:26.770Z",-30.4302,-177.3179,10,4.9,"mb",NA,129,1.295,0.96,"us","us2000b2hc","2017-10-07T16:45:24.040Z","140km SSE of Raoul Island, New Zealand","earthquake",10.7,1.9,0.09,39,"reviewed","us","us","New Zealand"
"194","2017-10-07T08:38:07.800Z",-33.0092,-177.7469,10,4.9,"mb",NA,160,3.755,1.07,"us","us2000b2et","2017-10-07T08:56:26.040Z","205km SSE of L'Esperance Rock, New Zealand","earthquake",10.1,1.9,0.136,17,"reviewed","us","us","New Zealand"
"199","2017-10-07T00:51:00.120Z",-33.183,-178.2463,10,4.5,"mb",NA,190,5.198,0.74,"us","us1000ark8","2017-10-24T02:33:43.040Z","203km SSE of L'Esperance Rock, New Zealand","earthquake",17,2,0.181,9,"reviewed","us","us","New Zealand"
"201","2017-10-07T00:16:30.880Z",-32.9921,-178.2819,10,5.4,"mww",NA,48,3.747,0.95,"us","us2000b2c0","2017-10-23T22:12:05.040Z","182km SSE of L'Esperance Rock, New Zealand","earthquake",8.3,1.8,0.071,19,"reviewed","us","us","New Zealand"
"228","2017-10-04T03:22:31.060Z",-31.5827,-178.1517,35.55,5,"mb",NA,109,16.681,0.99,"us","us2000b0th","2017-10-04T03:53:04.040Z","72km ESE of L'Esperance Rock, New Zealand","earthquake",12.4,6,0.123,21,"reviewed","us","us","New Zealand"
"237","2017-10-03T14:19:43.780Z",-39.651,175.9309,77.21,4.6,"mb",NA,124,0.651,1.24,"us","us2000b0gr","2017-10-19T13:52:46.040Z","29km SE of Waiouru, New Zealand","earthquake",7.2,11,0.172,10,"reviewed","us","us","New Zealand"
"247","2017-10-02T12:48:16.660Z",-33.2161,-178.3532,10,4.7,"mb",NA,244,5.122,1.52,"us","us2000b3kl","2017-10-14T06:48:51.040Z","204km SSE of L'Esperance Rock, New Zealand","earthquake",13.5,2,0.142,15,"reviewed","us","us","New Zealand"
"271","2017-09-30T06:34:36.320Z",-37.1559,178.7721,49.1,5,"mww",NA,104,0.549,0.83,"us","us2000ax3z","2017-10-20T12:57:08.302Z","166km NE of Opotiki, New Zealand","earthquake",10.2,5.6,0.089,12,"reviewed","us","us","New Zealand"
"294","2017-09-28T22:47:11.750Z",-34.0499,-178.5949,10,5.1,"mb",NA,73,4.315,0.99,"us","us2000aw90","2017-09-30T05:30:30.040Z","291km S of L'Esperance Rock, New Zealand","earthquake",8.4,1.4,0.074,59,"reviewed","us","us","New Zealand"
"337","2017-09-25T13:39:32.400Z",-38.393,178.628,28.72,4.7,"mb",NA,235,0.867,0.84,"us","us2000aubt","2017-10-15T18:09:41.040Z","61km ENE of Gisborne, New Zealand","earthquake",8.3,11,0.133,18,"reviewed","us","us","New Zealand"
"432","2017-09-20T02:42:10.110Z",-41.5073,174.3444,24.6,4.9,"mb",NA,24,0.26,0.83,"us","us2000arfw","2017-10-04T05:28:22.218Z","32km E of Blenheim, New Zealand","earthquake",3,2.8,0.126,20,"reviewed","us","us","New Zealand"
"434","2017-09-20T01:43:27.940Z",-50.7145,162.614,19.83,6.1,"mww",NA,56,4.397,0.91,"us","us2000arel","2017-10-02T03:52:55.683Z","248km W of Auckland Island, New Zealand","earthquake",9.1,3.1,0.065,23,"reviewed","us","us","New Zealand"
"439","2017-09-19T23:05:03.600Z",-36.2513,179.4478,47.77,4.7,"mb",NA,183,1.596,1.01,"us","us2000arca","2017-10-02T02:12:20.040Z","279km NE of Opotiki, New Zealand","earthquake",12.2,7.5,0.117,22,"reviewed","us","us","New Zealand"
"467","2017-09-18T12:11:05.230Z",-30.4189,-177.9085,35,5,"mb",NA,79,1.17,1.12,"us","us2000apvj","2017-10-02T05:40:36.040Z","127km S of Raoul Island, New Zealand","earthquake",9.8,1.9,0.115,24,"reviewed","us","us","New Zealand"
"472","2017-09-17T22:22:42.980Z",-30.3569,-177.8976,35,5,"mb",NA,68,1.108,0.77,"us","us2000apms","2017-10-25T01:22:42.040Z","120km S of Raoul Island, New Zealand","earthquake",4.3,1.9,0.101,31,"reviewed","us","us","New Zealand"
"531","2017-09-15T16:54:11.890Z",-31.305,-178.9992,63.22,4.7,"mb",NA,148,2.252,0.62,"us","us2000asmk","2017-10-21T14:45:51.040Z","17km NNW of L'Esperance Rock, New Zealand","earthquake",8.1,9.9,0.142,15,"reviewed","us","us","New Zealand"
"532","2017-09-15T16:46:14.380Z",-32.64,-178.547,28.94,4.6,"mb",NA,171,3.425,0.86,"us","us2000asml","2017-10-15T13:46:49.040Z","137km SSE of L'Esperance Rock, New Zealand","earthquake",9.9,8.8,0.129,18,"reviewed","us","us","New Zealand"
"558","2017-09-13T14:47:46.210Z",-29.5243,-176.1395,10,4.7,"mb",NA,132,1.586,0.84,"us","us2000asbn","2017-10-08T05:34:34.040Z","173km E of Raoul Island, New Zealand","earthquake",10.3,1.5,0.126,19,"reviewed","us","us","New Zealand"
"577","2017-09-12T15:09:28.140Z",-30.4261,-177.2892,12.38,4.5,"mb",NA,205,1.301,0.33,"us","us2000asau","2017-10-02T19:11:25.040Z","141km SSE of Raoul Island, New Zealand","earthquake",11,9,0.205,7,"reviewed","us","us","New Zealand"
"581","2017-09-12T09:35:31.590Z",-29.4195,-179.0732,354.35,4.5,"mb",NA,138,1.014,1.36,"us","us2000asan","2017-10-14T05:45:46.040Z","115km W of Raoul Island, New Zealand","earthquake",16.9,11.3,0.313,3,"reviewed","us","us","New Zealand"
"583","2017-09-12T07:10:35.050Z",-40.6778,175.9237,35.49,4.5,"mb",NA,74,0.245,1.19,"us","us2000asal","2017-09-24T13:14:22.040Z","34km NW of Castlepoint, New Zealand","earthquake",2.9,7.2,0.18,9,"reviewed","us","us","New Zealand"
"636","2017-09-09T20:50:47.280Z",-27.7277,-177.6127,147.22,4.9,"mb",NA,100,1.537,1.05,"us","us2000aj18","2017-10-06T01:10:36.040Z","172km N of Raoul Island, New Zealand","earthquake",11.7,6,0.073,58,"reviewed","us","us","New Zealand"
"734","2017-09-07T18:55:28.380Z",-37.5284,179.1832,26.21,4.6,"mb",NA,109,0.697,0.69,"us","us2000arql","2017-10-05T16:29:03.040Z","162km NE of Gisborne, New Zealand","earthquake",8.2,9.4,0.146,14,"reviewed","us","us","New Zealand"
"819","2017-09-02T17:47:15.790Z",-30.2357,-177.6076,25.22,4.5,"mb",NA,187,1.026,0.72,"us","us2000arlx","2017-10-04T21:11:44.040Z","111km SSE of Raoul Island, New Zealand","earthquake",10.1,7,0.144,14,"reviewed","us","us","New Zealand"
"863","2017-08-30T20:25:48.630Z",-48.6973,164.6146,11.15,4.6,"mb",NA,108,2.894,0.75,"us","us2000ad9p","2017-09-13T22:10:10.040Z","249km NNW of Auckland Island, New Zealand","earthquake",10.7,5.8,0.122,20,"reviewed","us","us","New Zealand"
"897","2017-08-28T17:04:06.200Z",-30.2391,-176.7197,10,4.5,"mb",NA,219,1.444,0.82,"us","us2000adiz","2017-09-13T22:28:29.040Z","156km SE of Raoul Island, New Zealand","earthquake",10.3,1.9,0.125,19,"reviewed","us","us","New Zealand"
"935","2017-08-26T00:39:08.200Z",-32.9533,-179.2167,62.37,4.9,"mb",NA,79,3.858,0.97,"us","us2000abyq","2017-09-29T21:20:55.040Z","171km S of L'Esperance Rock, New Zealand","earthquake",9.7,6.6,0.088,41,"reviewed","us","us","New Zealand"
"964","2017-08-23T12:07:27.040Z",-35.6026,-178.6636,10,4.5,"mb",NA,234,3.125,0.53,"us","us2000aaxk","2017-09-15T12:29:08.040Z","East of the North Island of New Zealand","earthquake",7,2,0.113,23,"reviewed","us","us","East of the North Island of New Zealand"
"966","2017-08-23T11:29:19.430Z",-35.4472,-178.9994,10,4.5,"mb",NA,248,3.027,0.37,"us","us2000abrn","2017-09-15T12:21:16.040Z","East of the North Island of New Zealand","earthquake",7,2,0.14,15,"reviewed","us","us","East of the North Island of New Zealand"
"984","2017-08-21T14:26:30.420Z",-33.0452,-178.5058,35,4.7,"mb",NA,165,3.82,0.53,"us","us2000abnm","2017-10-01T13:15:14.040Z","182km SSE of L'Esperance Rock, New Zealand","earthquake",10.6,2,0.13,18,"reviewed","us","us","New Zealand"
