"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"74","2017-10-17T23:03:40.030Z",12.7022,-87.8617,76.48,4.8,"mb",NA,134,0.792,0.98,"us","us1000atj1","2017-10-18T00:10:34.755Z","44km W of Jiquilillo, Nicaragua","earthquake",3,7.4,0.035,246,"reviewed","us","us","Nicaragua"
"184","2017-10-08T04:27:59.560Z",11.9624,-87.8405,46.26,4.5,"mb",NA,151,1.062,0.81,"us","us2000b2qg","2017-10-16T23:52:10.040Z","92km SW of Corinto, Nicaragua","earthquake",3.5,11.4,0.044,155,"reviewed","us","us","Nicaragua"
"185","2017-10-08T04:13:22.680Z",11.8985,-87.824,44.52,4.5,"mb",NA,151,1.095,0.69,"us","us2000b2qc","2017-10-16T23:48:23.040Z","95km SW of Corinto, Nicaragua","earthquake",7.2,7,0.053,103,"reviewed","us","us","Nicaragua"
"186","2017-10-08T03:38:47.110Z",12.0551,-87.7721,42.12,4.9,"mb",NA,154,0.95,0.76,"us","us2000b2q3","2017-10-16T23:46:21.040Z","80km SW of Corinto, Nicaragua","earthquake",6.3,9.1,0.03,344,"reviewed","us","us","Nicaragua"
"248","2017-10-02T10:22:16.050Z",12.3486,-88.2184,35.55,4.9,"mb",NA,113,1.192,1.48,"us","us2000axrm","2017-10-02T10:53:15.040Z","94km WSW of Jiquilillo, Nicaragua","earthquake",6.3,8.4,0.033,424,"reviewed","us","us","Nicaragua"
"505","2017-09-16T21:08:04.070Z",11.0632,-86.799,11.07,4.5,"mb",NA,176,1.431,0.79,"us","us2000at4h","2017-10-18T01:58:13.040Z","85km SSW of Masachapa, Nicaragua","earthquake",7,3.2,0.135,16,"reviewed","us","us","Nicaragua"
"809","2017-09-03T03:21:42.570Z",11.9775,-87.9271,8.23,5,"mww",NA,145,1.115,1.05,"us","us2000aerc","2017-09-23T20:22:49.040Z","99km SW of Corinto, Nicaragua","earthquake",6.4,4.3,0.066,22,"reviewed","us","us","Nicaragua"
"815","2017-09-02T22:10:16.570Z",11.9948,-86.7398,82.14,4.7,"mb",NA,130,0.486,0.91,"us","us2000aejq","2017-09-24T01:58:35.204Z","25km W of Carlos Fonseca Amador, Nicaragua","earthquake",5.6,5.4,0.048,132,"reviewed","us","us","Nicaragua"
"1005","2017-08-20T15:39:20.380Z",12.3813,-86.7523,162.64,4.9,"mb",NA,126,0.129,0.83,"us","us2000a9xx","2017-08-29T16:12:41.040Z","9km WNW of La Paz Centro, Nicaragua","earthquake",6.9,5,0.032,302,"reviewed","us","us","Nicaragua"
"1356","2017-07-28T05:46:25.930Z",10.739,-86.2561,37.2,4.5,"mb",NA,185,0.868,0.82,"us","us2000a22i","2017-10-14T00:19:44.040Z","70km SW of San Juan del Sur, Nicaragua","earthquake",7.1,13.4,0.081,44,"reviewed","us","us","Nicaragua"
