"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"9","2017-10-24T09:36:24.190Z",36.9672,27.3833,10,4.6,"mwr",NA,44,0.958,1.5,"us","us1000aw8c","2017-10-25T08:16:13.147Z","8km SSW of Bodrum, Turkey","earthquake",2.2,1.9,0.127,6,"reviewed","us","us","Turkey"
"280","2017-09-29T16:08:40.270Z",36.9513,30.6565,89.38,4.6,"mb",NA,46,0.633,0.95,"us","us2000awn9","2017-09-29T21:06:18.936Z","5km NW of Antalya, Turkey","earthquake",6.5,6.2,0.098,31,"reviewed","us","us","Turkey"
"1108","2017-08-14T02:43:48.460Z",37.0957,27.6994,10,4.7,"mb",NA,49,0.943,1,"us","us2000a7wg","2017-09-25T21:08:04.040Z","24km ENE of Bodrum, Turkey","earthquake",5.2,1.8,0.065,71,"reviewed","us","us","Turkey"
"1122","2017-08-13T11:16:52.430Z",37.0514,27.7004,5.26,4.9,"mwr",NA,45,0.902,0.75,"us","us2000a7s6","2017-08-25T06:15:17.574Z","24km E of Bodrum, Turkey","earthquake",4.5,4,0.089,12,"reviewed","us","us","Turkey"
"1208","2017-08-08T07:42:22.230Z",36.9645,27.5711,10,5.3,"mww",NA,38,0.87,0.69,"us","us2000a5vf","2017-10-25T00:38:02.040Z","15km ESE of Bodrum, Turkey","earthquake",4.2,1.8,0.065,23,"reviewed","us","us","Turkey"
"1225","2017-08-07T05:18:48.480Z",36.9252,27.5448,10,4.6,"mb",NA,46,0.848,0.79,"us","us2000a5ft","2017-10-25T00:38:01.040Z","16km SE of Bodrum, Turkey","earthquake",1.8,1.8,0.055,100,"reviewed","us","us","Turkey"
"1463","2017-07-21T01:38:49.930Z",36.8561,27.5779,10,4.6,"mb",NA,49,0.776,0.79,"us","us20009ys1","2017-10-11T01:04:00.040Z","16km NW of Datca, Turkey","earthquake",5,1.9,0.082,44,"reviewed","us","us","Turkey"
"2251","2017-05-28T11:04:59.370Z",38.764,27.7784,3.3,4.9,"mwr",NA,28,0.668,0.78,"us","us10008vw5","2017-08-15T02:26:44.040Z","13km WNW of Golmarmara, Turkey","earthquake",4.8,4.3,0.065,23,"reviewed","us","us","Turkey"
"2259","2017-05-28T02:52:56.460Z",38.7811,27.8031,10,4.8,"mwr",NA,25,0.658,0.57,"us","us10008vur","2017-08-15T02:26:43.040Z","12km NW of Golmarmara, Turkey","earthquake",4.3,1.8,0.06,27,"reviewed","us","us","Turkey"
"2260","2017-05-28T02:50:27.280Z",38.7688,27.7848,10,4.6,"mb",NA,26,0.666,0.68,"us","us10008vup","2017-08-15T02:26:43.040Z","12km WNW of Golmarmara, Turkey","earthquake",5.5,1.9,0.059,87,"reviewed","us","us","Turkey"
