"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"8166","2016-08-12T00:46:24.080Z",34.4055,86.2891,10,4.7,"mb",NA,63,6.231,0.73,"us","us10006d57","2016-11-15T02:21:45.040Z","Western Xizang","earthquake",2.9,1.8,0.047,136,"reviewed","us","us","Western Xizang"
"8186","2016-08-11T01:01:07.760Z",34.4396,86.2437,31.5,4.7,"mb",NA,106,10.795,1.04,"us","us10006ctr","2016-08-11T01:13:35.758Z","Western Xizang","earthquake",12.2,4.6,0.123,20,"reviewed","us","us","Western Xizang"
"8187","2016-08-11T01:01:05.900Z",34.3687,86.2515,29.39,4.7,"mb",NA,81,12.769,0.79,"us","us10006e2z","2016-10-26T03:10:25.040Z","Western Xizang","earthquake",10.9,2.4,0.097,32,"reviewed","us","us","Western Xizang"
"9906","2016-05-08T10:13:50.900Z",34.7921,86.6563,10,4.7,"mb",NA,95,9.814,0.73,"us","us10005fuk","2016-07-20T18:10:48.040Z","Western Xizang","earthquake",9.8,1.8,0.057,94,"reviewed","us","us","Western Xizang"
"23984","2014-06-07T06:40:52.840Z",30.2645,81.6031,27.1,4.5,"mb",NA,88,7.844,1.09,"us","usc000rity","2014-08-30T17:03:01.000Z","western Xizang","earthquake",NA,4.4,0.18,9,"reviewed","us","us","western Xizang"
"28613","2013-11-18T07:43:49.230Z",35.6323,88.0211,31.61,4.6,"mb",NA,102,6.465,1.02,"us","usb000l16l","2014-01-31T21:22:28.000Z","Western Xizang","earthquake",NA,3,0.107,NA,"reviewed","us","us","Western Xizang"
"29030","2013-11-03T07:02:05.360Z",35.5322,88.2345,10,4.5,"mb",NA,36,6.303,1.13,"us","usb000kryf","2014-01-10T10:03:44.000Z","Western Xizang","earthquake",NA,2.8,0.081,NA,"reviewed","us","us","Western Xizang"
"31031","2013-07-15T19:39:44.060Z",28.383,87.599,52.5,4.7,"mb",74,75,NA,1.01,"us","usp000k21s","2014-11-07T01:51:16.621Z","western Xizang","earthquake",NA,5.4,NA,56,"reviewed","us","us","western Xizang"
"32062","2013-05-16T03:39:49.680Z",31.377,86.512,24.3,4.7,"mb",93,41,NA,0.83,"us","usp000k0qj","2014-11-07T01:50:48.798Z","western Xizang","earthquake",NA,4.4,NA,59,"reviewed","us","us","western Xizang"
"32063","2013-05-16T03:34:16.800Z",31.504,86.604,25.3,5.2,"mb",119,28,NA,1.22,"us","usp000k0qg","2014-11-07T01:50:48.786Z","western Xizang","earthquake",NA,3.9,NA,147,"reviewed","us","us","western Xizang"
"34784","2013-01-05T13:41:34.020Z",31.318,86.582,35,4.8,"mb",103,51,NA,0.89,"us","usp000jxw7","2014-11-07T01:49:46.703Z","western Xizang","earthquake",NA,NA,NA,47,"reviewed","us","us","western Xizang"
"35883","2012-11-05T13:08:00.030Z",28.447,86.187,77.8,4.5,"mb",71,38.9,NA,1.04,"us","usp000jv2d","2015-03-24T01:47:47.524Z","western Xizang","earthquake",NA,NA,NA,26,"reviewed","us","us","western Xizang"
"36385","2012-10-08T17:46:20.670Z",31.832,78.444,10,4.9,"mb",61,51.3,NA,0.98,"us","usp000jtrg","2014-11-07T01:49:03.956Z","western Xizang-India border region","earthquake",NA,NA,NA,16,"reviewed","us","us","western Xizang-India border region"
"37301","2012-08-26T05:18:21.860Z",35.184,89.69,10,4.5,"mb",26,101.4,NA,1.08,"us","usp000jqra","2014-11-07T01:48:37.304Z","western Xizang","earthquake",NA,NA,NA,3,"reviewed","us","us","western Xizang"
"37382","2012-08-19T06:36:19.940Z",35.827,82.501,10,4.6,"mb",21,121.1,NA,0.94,"us","usp000jqgb","2014-11-07T01:48:35.747Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,1,"reviewed","us","us","Xinjiang-Xizang border region"
"37438","2012-08-14T20:32:57.370Z",35.624,82.505,6.3,4.7,"mb",153,29.4,NA,0.88,"us","usp000jqag","2014-11-07T01:48:34.464Z","Xinjiang-Xizang border region","earthquake",NA,10.3,NA,59,"reviewed","us","us","Xinjiang-Xizang border region"
"37469","2012-08-12T10:47:06.450Z",35.661,82.518,13,6.2,"mww",471,14.5,NA,0.86,"us","usp000jq7p","2017-10-11T20:11:24.197Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"37521","2012-08-09T13:12:04.910Z",28.456,86.74,70.2,4.7,"mb",108,82.7,NA,0.93,"us","usp000jq3d","2014-11-07T01:48:32.441Z","western Xizang","earthquake",NA,7,NA,21,"reviewed","us","us","western Xizang"
"37530","2012-08-09T05:49:55.090Z",30.317,94.846,10,4.9,"mb",112,51.2,NA,0.74,"us","usp000jq2w","2014-11-07T01:48:32.291Z","eastern Xizang","earthquake",NA,NA,NA,50,"reviewed","us","us","eastern Xizang"
"37574","2012-08-07T00:17:57.250Z",30.335,94.855,24.4,4.9,"mb",140,51.1,NA,0.85,"us","usp000jpzf","2014-11-07T01:48:31.417Z","eastern Xizang","earthquake",NA,11.1,NA,52,"reviewed","us","us","eastern Xizang"
"37598","2012-08-05T14:10:30.330Z",30.352,94.849,24.1,5,"mb",121,51.1,NA,0.78,"us","usp000jpxf","2014-11-07T01:48:30.989Z","eastern Xizang","earthquake",NA,8.8,NA,58,"reviewed","us","us","eastern Xizang"
"37675","2012-08-01T19:50:01.040Z",29.972,85.344,10,4.5,"mb",11,145.1,NA,1.15,"us","usp000jpr8","2014-11-07T01:48:28.082Z","western Xizang","earthquake",NA,NA,NA,2,"reviewed","us","us","western Xizang"
"37843","2012-07-22T16:44:20.410Z",29.951,88.041,29.4,4.9,"mb",92,116.5,NA,0.83,"us","usp000jpau","2014-11-07T01:48:22.819Z","western Xizang","earthquake",NA,10.4,NA,47,"reviewed","us","us","western Xizang"
"38164","2012-07-03T19:11:40.860Z",29.914,88.011,10,4.9,"mb",136,74.9,NA,0.84,"us","usp000jnjh","2014-11-07T01:48:15.719Z","western Xizang","earthquake",NA,NA,NA,68,"reviewed","us","us","western Xizang"
"38210","2012-06-30T19:43:25.210Z",28.638,96.393,43.1,4.7,"mb",120,50.6,NA,0.73,"us","usp000jned","2014-11-07T01:48:10.628Z","eastern Xizang-India border region","earthquake",NA,4.7,NA,51,"reviewed","us","us","eastern Xizang-India border region"
"38759","2012-05-27T20:50:22.610Z",30.822,83.466,35,4.8,"mb",71,94.8,NA,0.94,"us","usp000jm0r","2014-11-07T01:47:54.092Z","western Xizang","earthquake",NA,NA,NA,16,"reviewed","us","us","western Xizang"
"38925","2012-05-19T14:02:31.310Z",33.629,87.016,8.1,4.6,"mb",71,63.7,NA,1.11,"us","usp000jkma","2014-11-07T01:47:48.949Z","western Xizang","earthquake",NA,15.1,NA,15,"reviewed","us","us","western Xizang"
"39852","2012-04-10T08:08:38.280Z",34.383,82.386,34.1,4.7,"mb",122,77.8,NA,0.77,"us","usp000jhfn","2014-11-07T01:47:27.640Z","western Xizang","earthquake",NA,7.9,NA,51,"reviewed","us","us","western Xizang"
"40123","2012-03-25T10:06:17.620Z",33.693,89.295,6.4,4.5,"mb",51,127.3,NA,0.94,"us","usp000jgrp","2014-11-07T01:47:18.732Z","western Xizang","earthquake",NA,15.2,NA,21,"reviewed","us","us","western Xizang"
"40246","2012-03-19T17:46:02.200Z",29.434,94.873,35,4.7,"mb",39,115.3,NA,0.73,"us","usp000jgfz","2014-11-07T01:47:16.680Z","eastern Xizang-India border region","earthquake",NA,NA,NA,5,"reviewed","us","us","eastern Xizang-India border region"
