year,earthquake,tsunami,volcano
1967,265,11,3
1968,320,16,2
1969,341,10,4
1970,356,13,2
1971,400,15,6
1972,395,11,3
1973,2998,7,4
1974,3074,9,7
1975,3314,10,3
1976,3613,4,5
1977,3589,9,5
1978,3358,15,5
1979,3312,14,6
1980,3499,6,3
1981,3275,7,7
1982,3566,8,4
1983,4118,13,4
1984,4126,7,4
1985,4570,6,3
1986,4516,4,5
1987,4021,15,3
1988,4019,8,5
1989,4012,8,2
1990,4429,8,10
1991,4088,8,7
1992,4395,9,8
1993,4179,8,9
1994,4223,19,7
1995,4698,18,6
1996,4654,16,6
1997,4590,9,9
1998,3799,5,3
1999,4069,4,5
2000,5023,10,5
2001,4672,4,4
2002,4986,9,6
2003,5140,10,1
2004,6201,11,3
2005,7864,8,3
2006,7077,9,7
2007,7270,17,4
2008,6317,10,4
2009,6049,14,2
2010,7217,17,9
2011,9587,16,10
2012,7152,14,3
2013,7199,10,8
2014,8313,14,6
2015,7128,14,6
2016,7427,13,5
2017,4787,14,5
