"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"37377","2012-08-19T10:04:03.230Z",47.837,-128.452,10,4.5,"mb",402,141.8,NA,0.96,"us","usp000jqgp","2015-03-24T02:23:05.336Z","off the coast of Washington","earthquake",NA,NA,NA,153,"reviewed","us","us","off the coast of Washington"
"37379","2012-08-19T08:13:05.390Z",47.8,-128.749,10,4.5,"mb",18,183.8,NA,1.22,"us","usp000jqgf","2014-11-07T01:48:35.813Z","off the coast of Washington","earthquake",NA,NA,NA,6,"reviewed","us","us","off the coast of Washington"
"37380","2012-08-19T08:07:35.780Z",47.789,-128.619,10,5.6,"mww",546,116.6,NA,0.88,"us","usp000jqge","2015-03-24T01:32:12.842Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","us","us","off the coast of Washington"
"42821","2011-11-18T13:09:00.980Z",48.4693333,-119.6075,11.168,4.6,"md",21,121,0.2138,0.26,"uw","uw10831488","2017-04-02T01:41:47.861Z","Washington","earthquake",0.87,0.94,0.04,21,"reviewed","uw","uw","Washington"
"64252","2009-01-30T13:25:03.760Z",47.7865,-122.5846667,62.24,4.67,"ml",77,27,0.0526,0.52,"uw","uw10763723","2017-04-04T16:48:38.483Z","Seattle-Tacoma urban area, Washington","earthquake",0.83,0.99,0.188,144,"reviewed","uw","uw","Washington"
"66722","2008-09-11T23:26:19.340Z",47.24,-129.14,10,5.2,"mwc",103,147,NA,NA,"us","usp000ggwm","2016-11-10T02:01:31.338Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","gcmt","off the coast of Washington"
"66723","2008-09-11T23:13:35.600Z",47.921,-128.438,10,5.1,"mwc",118,158.8,NA,1.18,"us","usp000ggwj","2016-11-10T02:01:30.841Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","us","gcmt","off the coast of Washington"
"66725","2008-09-11T21:17:26.820Z",47.514,-128.862,10,4.5,"mb",129,145.5,NA,NA,"us","usp000ggwb","2014-11-07T01:37:11.243Z","off the coast of Washington","earthquake",NA,NA,NA,35,"reviewed","pgc","us","off the coast of Washington"
"80392","2006-10-08T02:48:26.650Z",46.8498333,-121.6001667,1.649,4.5,"md",96,23,NA,0.35,"uw","uw10701498","2017-07-18T00:25:02.143Z","Washington","earthquake",0.336,0.63,0.04,18,"reviewed","uw","uw","Washington"
"86706","2005-10-20T15:27:46.520Z",47.402,-128.978,10,4.5,"ml",48,213.7,NA,NA,"us","usp000e2az","2014-11-07T01:27:27.031Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","pgc","off the coast of Washington"
"91657","2005-03-01T21:34:26.000Z",47.98,-129.03,10,5,"mwc",198,160.7,NA,NA,"us","usp000dham","2016-11-10T01:02:10.279Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","hrv","off the coast of Washington"
"91670","2005-03-01T00:32:21.000Z",47.96,-129.1,10,5,"mwc",139,164.1,NA,NA,"us","usp000dh83","2016-11-10T01:02:06.755Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","hrv","off the coast of Washington"
"91673","2005-02-28T13:50:22.000Z",47.99,-128.97,10,4.9,"mwc",121,152.4,NA,NA,"us","usp000dh6d","2016-11-10T01:02:06.278Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","hrv","off the coast of Washington"
"91675","2005-02-28T13:23:46.000Z",47.98,-128.96,10,4.6,"mb",63,168.6,NA,NA,"us","usp000dh69","2014-11-07T01:25:05.510Z","off the coast of Washington","earthquake",NA,NA,NA,12,"reviewed","pgc","us","off the coast of Washington"
"91676","2005-02-28T12:49:21.000Z",47.96,-129.04,10,5,"mwc",206,105.6,NA,NA,"us","usp000dh64","2016-11-10T01:02:05.318Z","off the coast of Washington","earthquake",NA,NA,NA,NA,"reviewed","pgc","hrv","off the coast of Washington"
"103358","2003-04-25T10:02:12.710Z",47.6705,-123.25,50.513,4.8,"md",85,53,NA,0.18,"uw","uw10583988","2017-04-21T17:55:02.879Z","Olympic Peninsula, Washington","earthquake",0.347,0.59,0.04,8,"reviewed","uw","uw","Washington"
"112487","2001-06-10T13:19:11.290Z",47.1675,-123.5025,40.245,5,"md",89,89,NA,0.29,"uw","uw10529683","2016-09-01T18:41:07.280Z","Olympic Peninsula, Washington","earthquake",0.489,0.39,0.03,9,"reviewed","uw","uw","Washington"
"113636","2001-02-28T18:54:32.830Z",47.149,-122.7266667,51.798,6.8,"md",67,31,NA,0.2,"uw","uw10530748","2017-04-26T17:58:44.341Z","Puget Sound region, Washington","earthquake",0.517,0.92,0.03,0,"reviewed","uw","uw","Washington"
"121523","1999-07-03T01:43:54.370Z",47.074,-123.4636667,40.014,5.8,"md",48,85,NA,0.21,"uw","uw10474303","2017-06-05T19:43:09.197Z","Olympic Peninsula, Washington","earthquake",0.085,0.06,0.05,6,"reviewed","uw","uw","Washington"
"129731","1997-06-24T14:23:13.140Z",48.3635,-119.8881667,10.234,4.6,"md",22,102,NA,0.24,"uw","uw10424953","2016-07-23T17:39:52.130Z","Washington","earthquake",0.086,0.11,0.05,13,"reviewed","uw","uw","Washington"
"129740","1997-06-23T19:13:27.010Z",47.5983333,-122.5703333,13.345,4.9,"md",51,20,NA,0.19,"uw","uw10420133","2016-07-23T17:39:37.350Z","Seattle-Tacoma urban area, Washington","earthquake",0.028,0.06,0.06,8,"reviewed","uw","uw","Washington"
"135102","1996-05-03T04:04:22.670Z",47.7608333,-121.876,3.825,5.4,"md",51,40,NA,0.27,"uw","uw10389973","2017-04-26T17:51:58.163Z","Puget Sound region, Washington","earthquake",0.566,2.12,0.03,9,"reviewed","uw","uw","Washington"
"140847","1995-01-29T03:11:22.680Z",47.3866667,-122.3638333,15.449,5,"md",56,23,0.1848,0.17,"uw","uw10366973","2016-11-09T21:46:28.290Z","Seattle-Tacoma urban area, Washington","earthquake",0.042,0.09,0.04,6,"reviewed","uw","uw","Washington"
"158400","1990-12-12T03:20:43.730Z",47.852,-128.721,10,4.7,"mb",NA,NA,NA,0.8,"us","usp0004j0e","2014-11-07T00:47:36.279Z","off the coast of Washington","earthquake",NA,NA,NA,4,"reviewed","us","us","off the coast of Washington"
"161280","1990-04-14T05:33:26.600Z",48.845,-122.1605,11.861,5,"md",23,97,NA,0.21,"uw","uw10257663","2016-07-23T21:50:38.440Z","Washington","earthquake",0.071,0.21,0.07,5,"reviewed","uw","uw","Washington"
"162617","1989-12-24T08:45:58.900Z",46.65,-122.1161667,17.287,4.9,"md",55,40,NA,0.19,"uw","uw10250873","2016-07-24T21:15:43.890Z","Washington","earthquake",0.447,1.05,0.01,8,"reviewed","uw","uw","Washington"
"165087","1989-05-09T18:28:45.500Z",48.2305,-119.8538333,14.594,4.5,"md",24,175,0.2516,0.48,"uw","uw10240943","2016-07-24T20:58:31.790Z","Washington","earthquake",3.457,2.76,0.03,8,"reviewed","uw","uw","Washington"
"165808","1989-03-05T06:42:00.660Z",47.8128333,-123.3568333,45.287,4.5,"md",38,53,NA,0.32,"uw","uw10239378","2016-07-24T20:54:29.050Z","Olympic Peninsula, Washington","earthquake",0.992,1.91,0.01,13,"reviewed","uw","uw","Washington"
"197452","1981-05-28T09:10:45.900Z",46.5253333,-121.394,2.136,5,"md",60,29,NA,0.2,"uw","uw10106318","2016-07-24T22:15:06.230Z","Washington","earthquake",0.425,0.77,0.11,1,"reviewed","uw","uw","Washington"
