"","t","pd","Country","Mag","R","PR","S"
"1",1,0.96321114605606,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"2",2,0.998646580225491,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"3",3,0.999950209237591,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"4",4,0.999998168254914,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"5",5,0.999999932612198,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"6",6,0.99999999752088,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"7",7,0.999999999908796,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"8",8,0.999999999996645,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"9",9,0.999999999999877,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"10",10,0.999999999999995,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"11",11,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"12",12,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"13",13,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"14",14,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"15",15,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"16",16,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"17",17,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"18",18,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"19",19,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"20",20,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"21",21,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"22",22,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"23",23,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"24",24,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"25",25,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"26",26,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"27",27,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"28",28,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"29",29,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"30",30,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"31",31,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"32",32,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"33",33,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"34",34,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"35",35,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"36",36,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"37",37,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"38",38,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"39",39,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"40",40,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"41",41,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"42",42,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"43",43,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"44",44,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"45",45,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"46",46,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"47",47,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"48",48,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"49",49,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"50",50,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"51",51,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"52",52,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"53",53,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
"54",54,1,"papua",6.5,138.038426460288,0.30279537404197,-1.69897000433602
