"","t","pd","Country","Mag","R","PR","S"
"1",1,0.839039933565553,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"2",2,0.974091857013418,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"3",3,0.995829823583687,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"4",4,0.999328768126987,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"5",5,0.999891958473127,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"6",6,0.999982609628657,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"7",7,0.999997200844673,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"8",8,0.999999549447773,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"9",9,0.999999927479084,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"10",10,0.999999988327029,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"11",11,0.999999998121118,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"12",12,0.999999999697575,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"13",13,0.999999999951322,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"14",14,0.999999999992165,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"15",15,0.999999999998739,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"16",16,0.999999999999797,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"17",17,0.999999999999967,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"18",18,0.999999999999995,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"19",19,0.999999999999999,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"20",20,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"21",21,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"22",22,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"23",23,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"24",24,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"25",25,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"26",26,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"27",27,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"28",28,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"29",29,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"30",30,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"31",31,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"32",32,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"33",33,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"34",34,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"35",35,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"36",36,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"37",37,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"38",38,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"39",39,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"40",40,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"41",41,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"42",42,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"43",43,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"44",44,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"45",45,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"46",46,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"47",47,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"48",48,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"49",49,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"50",50,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"51",51,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"52",52,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"53",53,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"54",54,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"55",55,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"56",56,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"57",57,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"58",58,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"59",59,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"60",60,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"61",61,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"62",62,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"63",63,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"64",64,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"65",65,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"66",66,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"67",67,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"68",68,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"69",69,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"70",70,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"71",71,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
"72",72,1,"Chile",6.5,138.038426460288,0.547465541870452,-1.69897000433602
