"","t","pd","Country","Mag","R","PR","S"
"1",1,0.432504315606072,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"2",2,0.677948648194267,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"3",3,0.817237247697016,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"4",4,0.8962829268001,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"5",5,0.941141008561088,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"6",6,0.966597776370638,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"7",7,0.981044382241176,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"8",8,0.989242768726847,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"9",9,0.993895317676458,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"10",10,0.996535619126794,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"11",11,0.998033978805359,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"12",12,0.998884291456614,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"13",13,0.999366840216587,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"14",14,0.999640684555381,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"15",15,0.999796090035843,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"16",16,0.999884281975336,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"17",17,0.999934330520396,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"18",18,0.999962732853729,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"19",19,0.999978851055321,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"20",20,0.999987998065165,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"21",21,0.999993188953777,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"22",22,0.999996134760662,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"23",23,0.999997806493357,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"24",24,0.999998755194446,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"25",25,0.99999929357822,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"26",26,0.999999599108689,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"27",27,0.999999772495911,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"28",28,0.999999870892411,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"29",29,0.999999926732001,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"30",30,0.999999958420727,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"31",31,0.999999976403942,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"32",32,0.999999986609339,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"33",33,0.999999992400858,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"34",34,0.999999995687519,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"35",35,0.999999997552686,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"36",36,0.99999999861116,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"37",37,0.999999999211839,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"38",38,0.999999999552722,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"39",39,0.999999999746172,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"40",40,0.999999999855954,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"41",41,0.999999999918254,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"42",42,0.99999999995361,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
"43",43,0.999999999973674,"China",6.5,138.038426460288,1.76515609814247,-1.69897000433602
