"","t","pd","Country","Mag","R","PR","S"
"1",1,0.489499182367919,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"2",2,0.739388915196977,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"3",3,0.866957828124073,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"4",4,0.932081862477791,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"5",5,0.965327735262864,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"6",6,0.982299780502536,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"7",7,0.990964023474277,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"8",8,0.995387126595514,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"9",9,0.997645124355377,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"10",10,0.998797834057998,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"11",11,0.999386293303679,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"12",12,0.999686702229742,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"13",13,0.999840061232121,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"14",14,0.999918351128227,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"15",15,0.999958318184201,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"16",16,0.999978721398954,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"17",17,0.999989137256768,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"18",18,0.999994454560698,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"19",19,0.999997169048702,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"20",20,0.999998554797048,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"21",21,0.999999262222711,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"22",22,0.999999623364091,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"23",23,0.99999980772706,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"24",24,0.999999901844507,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"25",25,0.999999949891541,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"26",26,0.999999974419591,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"27",27,0.99999998694118,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"28",28,0.999999993333462,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"29",29,0.999999996596727,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"30",30,0.999999998262626,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"31",31,0.999999999113069,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"32",32,0.999999999547221,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"33",33,0.999999999768856,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"34",34,0.999999999882001,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"35",35,0.999999999939761,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"36",36,0.999999999969248,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"37",37,0.999999999984301,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"38",38,0.999999999991986,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"39",39,0.999999999995909,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"40",40,0.999999999997911,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"41",41,0.999999999998934,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"42",42,0.999999999999456,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"43",43,0.999999999999722,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"44",44,0.999999999999858,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"45",45,0.999999999999928,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"46",46,0.999999999999963,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"47",47,0.999999999999981,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"48",48,0.99999999999999,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"49",49,0.999999999999995,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"50",50,0.999999999999997,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"51",51,0.999999999999999,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"52",52,0.999999999999999,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"53",53,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"54",54,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"55",55,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"56",56,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"57",57,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"58",58,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"59",59,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"60",60,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"61",61,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"62",62,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"63",63,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"64",64,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"65",65,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"66",66,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"67",67,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
"68",68,1,"India",6.5,138.038426460288,1.48729174699082,-1.69897000433602
