"","t","pd","Country","Mag","R","PR","S"
"1",1,0.432998353977164,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"2",2,0.678509133407394,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"3",3,0.817714149460685,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"4",4,0.896643622697535,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"5",5,0.941396763942545,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"6",6,0.966771868693158,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"7",7,0.981159594854758,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"8",8,0.989317459270911,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"9",9,0.9939429818229,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"10",10,0.996565660723594,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"11",11,0.998052723977277,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"12",12,0.998895891289855,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"13",13,0.99937396854396,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"14",14,0.999645039133963,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"15",15,0.999798736604683,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"16",16,0.999885883323571,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"17",17,0.999935295656626,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"18",18,0.999963312530802,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"19",19,0.999979198144576,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"20",20,0.999988205313735,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"21",21,0.999993312393473,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"22",22,0.999996208116091,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"23",23,0.999997849995582,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"24",24,0.999998780943956,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"25",25,0.999999308793217,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"26",26,0.999999608084616,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"27",27,0.999999777783332,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"28",28,0.999999874002784,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"29",29,0.999999928559371,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"30",30,0.999999959493046,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"31",31,0.99999997703249,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"32",32,0.999999986977384,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"33",33,0.999999992616155,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"34",34,0.999999995813348,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"35",35,0.999999997626161,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"36",36,0.99999999865403,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"37",37,0.999999999236833,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"38",38,0.999999999567283,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"39",39,0.999999999754649,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"40",40,0.999999999860885,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"41",41,0.999999999921122,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"42",42,0.999999999955276,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
"43",43,0.999999999974641,"Iran",6.5,138.038426460288,1.76244661586581,-1.69897000433602
