"","t","pd","Country","Mag","R","PR","S"
"1",1,0.964282277684639,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"2",2,0.998724244312603,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"3",3,0.999954432912615,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"4",4,0.999998372447426,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"5",5,0.999999941867529,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"6",6,0.999999997923641,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"7",7,0.999999999925837,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"8",8,0.999999999997351,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"9",9,0.999999999999905,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"10",10,0.999999999999997,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"11",11,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"12",12,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"13",13,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"14",14,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"15",15,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"16",16,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"17",17,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"18",18,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"19",19,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"20",20,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"21",21,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"22",22,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"23",23,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"24",24,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"25",25,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"26",26,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"27",27,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"28",28,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"29",29,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"30",30,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"31",31,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"32",32,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"33",33,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"34",34,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"35",35,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"36",36,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
"37",37,1,"Japan",6.5,138.038426460288,0.300110294436944,-1.69897000433602
