"","t","pd","Country","Mag","R","PR","S"
"1",1,0.290542335600757,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"2",2,0.496669822425171,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"3",3,0.642908547796106,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"4",4,0.746658732342491,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"5",5,0.820265095951761,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"6",6,0.872485694762914,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"7",7,0.909533998829005,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"8",8,0.935818202101687,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"9",9,0.954465731566118,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"10",10,0.96769536426677,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"11",11,0.977081228583434,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"12",12,0.983740101959903,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"13",13,0.988464290713103,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"14",14,0.991815902632129,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"15",15,0.994193729396175,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"16",16,0.99588069681854,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"17",17,0.997077528785929,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"18",18,0.997926630398191,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"19",19,0.998529032044864,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"20",20,0.998956410510143,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"21",21,0.999259617437935,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"22",22,0.999474729916755,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"23",23,0.999627343113562,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"24",24,0.999735615715726,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"25",25,0.999812430543175,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"26",26,0.999866927411248,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"27",27,0.999905590631989,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"28",28,0.999933020550273,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"29",29,0.999952480916034,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"30",30,0.999966287221675,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"31",31,0.999976082211029,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"32",32,0.999983031341299,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"33",33,0.99998796145503,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"34",34,0.999991459162003,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"35",35,0.999993940637023,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"36",36,0.999995701138494,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"37",37,0.999996950139757,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"38",38,0.999997836253275,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"39",39,0.999998464913302,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"40",40,0.999998910920977,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"41",41,0.99999922734454,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"42",42,0.999999451833662,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"43",43,0.99999961109919,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"44",44,0.99999972409134,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"45",45,0.999999804254486,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"46",46,0.999999861126845,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"47",47,0.999999901475376,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"48",48,0.99999993010095,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"49",49,0.999999950409583,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"50",50,0.999999964817699,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"51",51,0.999999975039647,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
"52",52,0.999999982291686,"mac",6.5,138.038426460288,2.91329067681103,-1.69897000433602
