"","t","pd","Country","Mag","R","PR","S"
"1",1,0.687209566620463,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"2",2,0.902162144786242,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"3",3,0.969397254866764,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"4",4,0.990427754087172,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"5",5,0.997005893052511,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"6",6,0.99906347199031,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"7",7,0.999707062997977,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"8",8,0.999908372108184,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"9",9,0.999971339672009,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"10",10,0.999991035323587,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"11",11,0.99999719593498,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"12",12,0.999999122915287,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"13",13,0.999999725656293,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"14",14,0.999999914187913,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"15",15,0.9999999731588,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"16",16,0.999999991604329,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"17",17,0.999999997373915,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"18",18,0.999999999178586,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"19",19,0.999999999743069,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"20",20,0.999999999919635,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"21",21,0.999999999974862,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"22",22,0.999999999992137,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"23",23,0.999999999997541,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"24",24,0.999999999999231,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"25",25,0.999999999999759,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"26",26,0.999999999999925,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"27",27,0.999999999999976,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"28",28,0.999999999999993,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"29",29,0.999999999999998,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"30",30,0.999999999999999,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"31",31,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"32",32,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"33",33,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"34",34,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"35",35,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"36",36,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"37",37,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"38",38,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"39",39,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"40",40,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"41",41,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"42",42,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"43",43,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"44",44,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"45",45,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"46",46,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"47",47,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"48",48,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"49",49,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"50",50,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"51",51,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"52",52,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"53",53,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"54",54,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"55",55,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"56",56,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"57",57,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
"58",58,1,"mexico",6.5,138.038426460288,0.860420922252402,-1.69897000433602
