"","t","pd","Country","Mag","R","PR","S"
"1",1,0.204483930033646,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"2",2,0.367154182425287,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"3",3,0.49656098230832,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"4",4,0.599506171178193,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"5",5,0.681400723249899,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"6",6,0.746549155465637,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"7",7,0.79837578022637,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"8",8,0.839604693075649,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"9",9,0.872402955794493,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"10",10,0.898494500854312,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"11",11,0.919250744239649,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"12",12,0.935762669404818,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"13",13,0.948898171219791,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"14",14,0.959347674000675,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"15",15,0.967660421386026,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"16",16,0.974273345516643,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"17",17,0.979534032932018,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"18",18,0.983718994310018,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"19",19,0.987048198338406,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"20",20,0.989696633643185,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"21",21,0.991803506488403,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"22",22,0.99347955769415,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"23",23,0.994812883362407,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"24",24,0.995873565358005,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"25",25,0.996717354930627,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"26",26,0.997388603095318,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"27",27,0.997922591797265,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"28",28,0.998347388390845,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"29",29,0.998685320907504,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"30",30,0.998954151655071,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"31",31,0.999168010834861,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"32",32,0.999338139249094,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"33",33,0.999473479136574,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"34",34,0.999581144191972,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"35",35,0.999666793473715,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"36",36,0.999734928853723,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"37",37,0.999789131643452,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"38",38,0.999832250833719,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"39",39,0.9998665528425,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"40",40,0.999893840641717,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"41",41,0.999915548524509,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"42",42,0.999932817494114,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"43",43,0.999946555236947,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"44",44,0.999957483832136,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"45",45,0.999966177705231,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"46",46,0.999973093820988,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"47",47,0.999978595702215,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"48",48,0.999982972537145,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"49",49,0.999986454379668,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"50",50,0.999989224241349,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"51",51,0.999991427710827,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"52",52,0.999993180606206,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"53",53,0.99999457506265,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"54",54,0.999995684375159,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
"55",55,0.999996566851087,"nicaragua",6.5,138.038426460288,4.37131276425684,-1.69897000433602
