"","t","pd","Country","Mag","R","PR","S"
"1",1,0.813447815104586,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"2",2,0.965198282310747,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"3",3,0.993507663526957,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"4",4,0.998788840445878,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"5",5,0.999774055538922,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"6",6,0.999957849567121,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"7",7,0.999992136744652,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"8",8,0.999998533092535,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"9",9,0.999999726345207,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"10",10,0.9999999489491,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"11",11,0.999999990476343,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"12",12,0.999999998223341,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"13",13,0.99999999966856,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"14",14,0.999999999938169,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"15",15,0.999999999988465,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"16",16,0.999999999997848,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"17",17,0.999999999999599,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"18",18,0.999999999999925,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"19",19,0.999999999999986,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"20",20,0.999999999999997,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"21",21,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"22",22,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"23",23,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"24",24,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"25",25,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"26",26,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"27",27,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"28",28,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"29",29,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"30",30,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"31",31,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"32",32,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"33",33,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"34",34,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"35",35,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"36",36,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"37",37,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"38",38,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"39",39,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"40",40,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"41",41,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"42",42,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"43",43,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"44",44,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"45",45,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"46",46,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"47",47,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"48",48,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"49",49,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"50",50,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"51",51,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"52",52,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"53",53,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"54",54,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"55",55,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"56",56,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"57",57,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"58",58,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"59",59,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"60",60,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"61",61,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"62",62,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"63",63,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"64",64,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"65",65,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"66",66,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"67",67,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"68",68,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"69",69,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"70",70,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"71",71,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"72",72,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"73",73,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"74",74,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"75",75,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"76",76,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"77",77,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"78",78,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"79",79,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"80",80,1,"Philippines",6.5,138.038426460288,0.595576912113185,-1.69897000433602
"81",1,0.432617566692428,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"82",2,0.678077174373979,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"83",3,0.817346643859059,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"84",4,0.896365694340958,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"85",5,0.941199715481032,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"86",6,0.966637751490451,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"87",7,0.98107084626004,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"88",8,0.989259930690568,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"89",9,0.993906273341323,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"90",10,0.996542526540488,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"91",11,0.998038290295446,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"92",12,0.998886960374387,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"93",13,0.999368480868852,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"94",14,0.999641687138689,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"95",15,0.999796699576864,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"96",16,0.999884650911229,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"97",17,0.999934552953333,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"98",18,0.999962866495409,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"99",19,0.999978931101808,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"100",20,0.999988045877277,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"101",21,0.999993217440761,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"102",22,0.999996151695035,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"103",23,0.999997816539365,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"104",24,0.999998761142792,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"105",25,0.999999297094183,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"106",26,0.999999601183587,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"107",27,0.999999773718573,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"108",28,0.999999871611893,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"109",29,0.999999927154844,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"110",30,0.999999958668938,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"111",31,0.999999976549481,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"112",32,0.999999986694588,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"113",33,0.999999992450743,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"114",34,0.999999995716684,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"115",35,0.999999997569722,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"116",36,0.999999998621103,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"117",37,0.999999999217638,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"118",38,0.999999999556102,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"119",39,0.99999999974814,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"120",40,0.999999999857099,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"121",41,0.99999999991892,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"122",42,0.999999999953997,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"123",43,0.999999999973899,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"124",44,0.999999999985191,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"125",45,0.999999999991597,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"126",46,0.999999999995232,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"127",47,0.999999999997295,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"128",48,0.999999999998465,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"129",49,0.999999999999129,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"130",50,0.999999999999506,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"131",51,0.99999999999972,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"132",52,0.999999999999841,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"133",53,0.99999999999991,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"134",54,0.999999999999949,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"135",55,0.999999999999971,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"136",56,0.999999999999984,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"137",57,0.999999999999991,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"138",58,0.999999999999995,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"139",59,0.999999999999997,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"140",60,0.999999999999998,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"141",61,0.999999999999999,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"142",62,0.999999999999999,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"143",63,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"144",64,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"145",65,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"146",66,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"147",67,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"148",68,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"149",69,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"150",70,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"151",71,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"152",72,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"153",73,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"154",74,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"155",75,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"156",76,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"157",77,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"158",78,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"159",79,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"160",80,1,"Philippines",7,208.929613085404,1.7645344617755,-1.69897000433602
"161",1,0.174101607161444,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"162",2,0.317891844706691,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"163",3,0.436647970801184,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"164",4,0.534728464482359,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"165",5,0.615732986582453,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"166",6,0.682634491197576,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"167",7,0.737888336337688,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"168",8,0.783522398237056,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"169",9,0.82121149661844,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"170",10,0.852338862399159,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"171",11,0.878046903770752,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"172",12,0.899279133822579,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"173",13,0.916814798498761,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"174",14,0.931297475772175,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"175",15,0.943258695656287,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"176",16,0.953137447934964,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"177",17,0.961296293565174,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"178",18,0.968034671058582,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"179",19,0.973599886200727,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"180",20,0.978196188442426,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"181",21,0.981992267076845,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"182",22,0.9851274423201,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"183",23,0.987716778514772,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"184",24,0.98985530711647,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"185",25,0.991621514451652,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"186",26,0.993080222251198,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"187",27,0.994284966678465,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"188",28,0.995279963164725,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"189",29,0.996101729163608,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"190",30,0.996780424381374,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"191",31,0.997340957670955,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"192",32,0.997803901213952,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"193",33,0.998186245542088,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"194",34,0.998502023108207,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"195",35,0.998762823292559,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"196",36,0.998978217745667,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"197",37,0.999156111678315,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"198",38,0.999303033991385,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"199",39,0.999424376893622,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"200",40,0.999524593801562,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"201",41,0.999607362784764,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"202",42,0.999675721554968,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
"203",43,0.999732178953416,"Philippines",7.5,316.227766016838,5.22784178410466,-1.69897000433602
