"","t","pd","Country","Mag","R","PR","S"
"1",1,0.759478379673351,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"2",2,0.942149350155443,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"3",3,0.986085667962438,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"4",4,0.996653302312562,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"5",5,0.999195046849474,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"6",6,0.999806391363948,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"7",7,0.999953432937148,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"8",8,0.999988799614589,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"9",9,0.999997306065153,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"10",10,0.999999352050425,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"11",11,0.999999844154118,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"12",12,0.999999962515696,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"13",13,0.999999990984214,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"14",14,0.999999997831509,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"15",15,0.999999999478431,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"16",16,0.999999999874551,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"17",17,0.999999999969827,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"18",18,0.999999999992743,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"19",19,0.999999999998255,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"20",20,0.99999999999958,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"21",21,0.999999999999899,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"22",22,0.999999999999976,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"23",23,0.999999999999994,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"24",24,0.999999999999999,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"25",25,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"26",26,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"27",27,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"28",28,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"29",29,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"30",30,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"31",31,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"32",32,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"33",33,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"34",34,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"35",35,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"36",36,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"37",37,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"38",38,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"39",39,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"40",40,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"41",41,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"42",42,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"43",43,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"44",44,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"45",45,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"46",46,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"47",47,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"48",48,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"49",49,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"50",50,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"51",51,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"52",52,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"53",53,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"54",54,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"55",55,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"56",56,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"57",57,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
"58",58,1,"Solomon Islands",6.5,138.038426460288,0.701781326454342,-1.69897000433602
