"","t","pd","Country","Mag","R","PR","S"
"1",1,0.480881482192596,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"2",2,0.730515964469443,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"3",3,0.86010584690262,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"4",4,0.927378354594166,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"5",5,0.962300759076188,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"6",6,0.980429625929167,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"7",7,0.989840656419413,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"8",8,0.994726096618549,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"9",9,0.997262219093562,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"10",10,0.998578767233768,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"11",11,0.999262211752935,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"12",12,0.999617000458728,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"13",13,0.999801177845814,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"14",14,0.999896787738012,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"15",15,0.999946420603537,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"16",16,0.999972185943123,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"17",17,0.99998556120802,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"18",18,0.999992504555708,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"19",19,0.999996108976069,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"20",20,0.999997980097424,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"21",21,0.999998951431169,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"22",22,0.999999455668502,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"23",23,0.99999971742744,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"24",24,0.999999853311351,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"25",25,0.999999923851206,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"26",26,0.999999960469751,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"27",27,0.999999979479116,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"28",28,0.999999989347229,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"29",29,0.999999994469949,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"30",30,0.999999997129248,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"31",31,0.99999999850974,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"32",32,0.999999999226378,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"33",33,0.999999999598399,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"34",34,0.999999999791521,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"35",35,0.999999999891775,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"36",36,0.999999999943818,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"37",37,0.999999999970835,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"38",38,0.99999999998486,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
"39",39,0.999999999992141,"Taiwan",6.5,138.038426460288,1.5252666586937,-1.69897000433602
