"","t","pd","Country","Mag","R","PR","S"
"1",1,0.563645159390405,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"2",2,0.809594453076575,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"3",3,0.916915617921046,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"4",4,0.963745727700791,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"5",5,0.984180272789462,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"6",6,0.993096985454558,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"7",7,0.996987836188298,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"8",8,0.998685627740055,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"9",9,0.99942646730201,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"10",10,0.999749736230984,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"11",11,0.999890796192961,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"12",12,0.999952348390185,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"13",13,0.999979206989395,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"14",14,0.999990926869171,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"15",15,0.999996040895443,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"16",16,0.999998272425562,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"17",17,0.999999246164532,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"18",18,0.999999671060244,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"19",19,0.999999856465545,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"20",20,0.999999937368046,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"21",21,0.999999972670244,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"22",22,0.999999988074529,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"23",23,0.999999994796263,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"24",24,0.999999997729324,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"25",25,0.99999999900918,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"26",26,0.999999999567651,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"27",27,0.999999999811342,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"28",28,0.999999999917678,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"29",29,0.999999999964079,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"30",30,0.999999999984326,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"31",31,0.99999999999316,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"32",32,0.999999999997015,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"33",33,0.999999999998698,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"34",34,0.999999999999432,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"35",35,0.999999999999752,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"36",36,0.999999999999892,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"37",37,0.999999999999953,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"38",38,0.999999999999979,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"39",39,0.999999999999991,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"40",40,0.999999999999996,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"41",41,0.999999999999998,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"42",42,0.999999999999999,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"43",43,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"44",44,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"45",45,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"46",46,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"47",47,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"48",48,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"49",49,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"50",50,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"51",51,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"52",52,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"53",53,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"54",54,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"55",55,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"56",56,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"57",57,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"58",58,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"59",59,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"60",60,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"61",61,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"62",62,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"63",63,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"64",64,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"65",65,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"66",66,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"67",67,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"68",68,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"69",69,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"70",70,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"71",71,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"72",72,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"73",73,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"74",74,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"75",75,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"76",76,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"77",77,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"78",78,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"79",79,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"80",80,1,"tonga",6.5,138.038426460288,1.20583695697512,-1.69897000433602
"81",1,0.205471403856673,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"82",2,0.368724309910513,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"83",3,0.49843341217379,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"84",4,0.601491003102042,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"85",5,0.68337320614418,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"86",6,0.748430957976373,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"87",7,0.800121202207845,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"88",8,0.841190579391383,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"89",9,0.873821373989501,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"90",10,0.899747473412584,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"91",11,0.920346500790679,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"92",12,0.936713017095314,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"93",13,0.949716682318593,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"94",14,0.960048466193163,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"95",15,0.968257363930681,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"96",16,0.974779567925956,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"97",17,0.979961645510081,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"98",18,0.984078954338103,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"99",19,0.987350273941119,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"100",20,0.989949430912839,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"101",21,0.992014535452737,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"102",22,0.993655320063711,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"103",23,0.994958970357241,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"104",24,0.995994757794822,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"105",25,0.996817720533506,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"106",26,0.997471587962951,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"107",27,0.997991104333731,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"108",28,0.998403874946481,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"109",29,0.998731833001958,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"110",30,0.998992405055371,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"111",31,0.999199437003163,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"112",32,0.999363929805999,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"113",33,0.999494624041711,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"114",34,0.999598464349336,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"115",35,0.999680968443177,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"116",36,0.999746520305032,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"117",37,0.999798603133806,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"118",38,0.999839984430635,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"119",39,0.999872863054312,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"120",40,0.999898986061024,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"121",41,0.999919741536875,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"122",42,0.999936232355964,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"123",43,0.999949334783305,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"124",44,0.999959745036506,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"125",45,0.999968016280367,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"126",46,0.999974588020141,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"127",47,0.999979809455317,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"128",48,0.999983958034878,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"129",49,0.999987254199972,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"130",50,0.999989873097397,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"131",51,0.999991953886292,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"132",52,0.999993607132571,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"133",53,0.999994920684016,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"134",54,0.999995964338202,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"135",55,0.999996793551297,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"136",56,0.999997452384814,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"137",57,0.999997975846882,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"138",58,0.999998391752465,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"139",59,0.999998722201344,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"140",60,0.999998984752428,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"141",61,0.999999193356772,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"142",62,0.999999359098888,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"143",63,0.999999490785739,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"144",64,0.999999595414708,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"145",65,0.999999678545416,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"146",66,0.999999744595141,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"147",67,0.999999797073536,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"148",68,0.999999838769121,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"149",69,0.999999871897456,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"150",70,0.999999898218866,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"151",71,0.999999919131978,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"152",72,0.999999935748044,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"153",73,0.999999948949984,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"154",74,0.999999959439302,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"155",75,0.999999967773366,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"156",76,0.999999974395018,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"157",77,0.999999979656109,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"158",78,0.999999983836197,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"159",79,0.999999987157396,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"160",80,0.999999989796184,"tonga",7,208.929613085404,4.34770697822328,-1.69897000433602
"161",1,0.0618001285971083,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"162",2,0.119781001299597,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"163",3,0.1741786486129,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"164",4,0.225214514326861,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"165",5,0.273096356976634,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"166",6,0.318019095593184,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"167",7,0.360165603186298,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"168",8,0.399707451190238,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"169",9,0.436805607902567,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"170",10,0.471611093759358,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"171",11,0.504265596114315,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"172",12,0.534902046024462,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"173",13,0.563645159390402,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"174",14,0.590611944654046,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"175",15,0.615912179120546,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"176",16,0.639648855843479,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"177",17,0.661918602892467,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"178",18,0.682812076710003,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"179",19,0.702414331158774,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"180",20,0.720805163761818,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"181",21,0.738059440544987,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"182",22,0.754247400804105,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"183",23,0.769434943037485,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"184",24,0.783683893207768,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"185",25,0.797052256425154,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"186",26,0.809594453076572,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"187",27,0.821361540362043,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"188",28,0.832401420140058,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"189",29,0.842759033928095,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"190",30,0.852476545852072,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"191",31,0.861593514289504,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"192",32,0.870147052905086,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"193",33,0.878171981734265,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"194",34,0.885700968929819,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"195",35,0.892764663748481,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"196",36,0.899391821318979,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"197",37,0.905609419699387,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"198",38,0.91144276970032,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"199",39,0.916915617921044,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"200",40,0.922050243417935,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"201",41,0.92686754839882,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"202",42,0.931387143312395,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"203",43,0.935627426679104,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"204",44,0.939605659988462,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"205",45,0.943338037967712,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"206",46,0.946839754507872,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"207",47,0.950125064515539,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"208",48,0.953207341942252,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"209",49,0.956099134227621,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"210",50,0.958812213377878,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"211",51,0.961357623887756,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"212",52,0.96374572770079,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"213",53,0.965986246391076,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"214",54,0.968088300738178,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"215",55,0.970060447856311,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"216",56,0.971910716028931,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"217",57,0.973646637390543,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"218",58,0.975275278588774,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"219",59,0.976803269551515,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"220",60,0.978236830476264,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"221",61,0.979581797151512,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"222",62,0.98084364471327,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"223",63,0.982027509933442,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"224",64,0.983138212130766,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"225",65,0.984180272789461,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"226",66,0.985157933965444,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"227",67,0.986075175555026,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"228",68,0.986935731496418,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"229",69,0.987743104969966,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"230",70,0.988500582659024,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"231",71,0.989211248129488,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"232",72,0.989877994382488,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"233",73,0.990503535631311,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"234",74,0.991090418350513,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"235",75,0.991641031642198,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"236",76,0.99215761696165,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"237",77,0.992642277241927,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"238",78,0.993096985454558,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"239",79,0.993523592641174,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
"240",80,0.993923835448797,"tonga",7.5,316.227766016838,15.6758804406767,-1.69897000433602
