"","t","pd","Country","Mag","R","PR","S"
"1",1,0.798550096271379,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"2",2,0.959417936287729,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"3",3,0.991824747172054,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"4",4,0.998353096104853,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"5",5,0.999668231368872,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"6",6,0.999933165241199,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"7",7,0.999986536144274,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"8",8,0.99999728770756,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"9",9,0.999999453608949,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"10",10,0.999999889929575,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"11",11,0.999999977826324,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"12",12,0.999999995533115,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"13",13,0.999999999100146,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"14",14,0.999999999818725,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"15",15,0.999999999963482,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"16",16,0.999999999992643,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"17",17,0.999999999998518,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"18",18,0.999999999999701,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"19",19,0.99999999999994,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"20",20,0.999999999999988,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"21",21,0.999999999999998,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"22",22,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"23",23,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"24",24,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"25",25,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"26",26,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"27",27,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"28",28,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"29",29,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"30",30,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"31",31,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"32",32,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"33",33,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"34",34,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"35",35,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"36",36,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"37",37,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"38",38,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"39",39,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"40",40,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"41",41,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"42",42,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"43",43,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"44",44,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"45",45,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"46",46,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"47",47,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"48",48,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"49",49,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"50",50,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"51",51,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"52",52,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"53",53,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"54",54,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"55",55,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"56",56,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"57",57,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"58",58,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"59",59,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"60",60,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"61",61,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"62",62,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"63",63,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"64",64,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"65",65,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"66",66,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"67",67,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"68",68,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"69",69,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"70",70,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"71",71,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"72",72,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"73",73,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"74",74,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"75",75,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"76",76,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"77",77,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"78",78,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"79",79,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"80",80,1,"USA",6.5,138.038426460288,0.624136138928907,-1.69897000433602
"81",1,0.355180292292707,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"82",2,0.584207544552281,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"83",3,0.731888830411304,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"84",4,0.827116633992757,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"85",5,0.888521398463756,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"86",6,0.928116400741782,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"87",7,0.953648038537367,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"88",8,0.970111341758006,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"89",9,0.980727204128634,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"90",10,0.987572521399523,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"91",11,0.991986516881302,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"92",12,0.994832748157684,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"93",13,0.996668054177388,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"94",14,0.997851495668567,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"95",15,0.998614602064997,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"96",16,0.999106668108493,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"97",17,0.999423961990833,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"98",18,0.999628559339301,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"99",19,0.999760487741737,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"100",20,0.999845557775635,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"101",21,0.999900412610027,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"102",22,0.999935784088306,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"103",23,0.999958592314591,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"104",24,0.999973299508398,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"105",25,0.99998278299681,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"106",26,0.999988898137035,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"107",27,0.999992841299968,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"108",28,0.999995383929138,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"109",29,0.999997023466536,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"110",30,0.999998080672562,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"111",31,0.999998762379842,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"112",32,0.999999201958132,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"113",33,0.999999485406876,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"114",34,0.999999668180212,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"115",35,0.999999786036061,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"116",36,0.999999862031836,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"117",37,0.999999911035409,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"118",38,0.999999942633878,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"119",39,0.999999963009194,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"120",40,0.999999976147599,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"121",41,0.999999984619502,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"122",42,0.999999990082352,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"123",43,0.999999993604905,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"124",44,0.999999995876317,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"125",45,0.999999997340968,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"126",46,0.999999998285404,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"127",47,0.999999998894394,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"128",48,0.999999999287084,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"129",49,0.999999999540298,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"130",50,0.999999999703575,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"131",51,0.999999999808859,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"132",52,0.999999999876749,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"133",53,0.999999999920525,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"134",54,0.999999999948753,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"135",55,0.999999999966955,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"136",56,0.999999999978692,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"137",57,0.99999999998626,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"138",58,0.99999999999114,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"139",59,0.999999999994287,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"140",60,0.999999999996316,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"141",61,0.999999999997625,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"142",62,0.999999999998468,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
"143",63,0.999999999999012,"USA",7,208.929613085404,2.27902294830361,-1.69897000433602
