"","t","pd","Country","Mag","R","PR","S"
"1",1,0.937896352700801,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"2",2,0.996143136992137,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"3",3,0.999760474740078,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"4",4,0.999985124607739,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"5",5,0.999999076183886,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"6",6,0.99999994262765,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"7",7,0.999999996436968,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"8",8,0.999999999778723,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"9",9,0.999999999986258,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"10",10,0.999999999999147,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"11",11,0.999999999999947,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"12",12,0.999999999999997,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"13",13,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"14",14,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"15",15,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"16",16,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"17",17,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"18",18,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"19",19,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"20",20,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"21",21,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"22",22,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"23",23,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"24",24,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"25",25,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"26",26,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
"27",27,1,"vanuatu",6.5,138.038426460288,0.359848071686122,-1.69897000433602
