"","t","pd","Country","Mag","R","PR","S"
"1",1,0.119735405473886,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"2",2,0.225134243623776,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"3",3,0.317913109151312,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"4",4,0.399583059595502,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"5",5,0.471474225408224,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"6",6,0.53475747333237,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"7",7,0.590463475906614,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"8",8,0.639499497675301,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"9",9,0.682664171494688,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"10",10,0.720660505592163,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"11",11,0.754107333219956,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"12",12,0.783549391379919,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"13",13,0.809466192768114,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"14",14,0.832279835433507,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"15",15,0.852361877344023,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"16",16,0.87003938782364,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"17",17,0.885600274418211,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"18",18,0.899297971946847,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"19",19,0.911355570107834,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"20",20,0.921969446863974,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"21",21,0.931312466783068,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"22",22,0.939536796423798,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"23",23,0.946776382620245,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"24",24,0.953149134027997,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"25",25,0.958758841461957,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"26",26,0.963696868301723,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"27",27,0.968043638495588,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"28",28,0.971869946397789,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"29",29,0.975238109771851,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"30",30,0.978202984738619,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"31",31,0.980812859199061,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"32",32,0.983110239282746,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"33",33,0.985132541630583,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"34",34,0.986912702786811,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"35",35,0.98847971562519,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"36",36,0.989859101545982,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"37",37,0.991073326134243,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"38",38,0.992142165049093,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"39",39,0.993083026103087,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"40",40,0.993911232777286,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"41",41,0.994640273789534,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"42",42,0.995282022780573,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"43",43,0.995846931695958,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"44",44,0.996344201013303,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"45",45,0.996781929587306,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"46",46,0.997167246553013,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"47",47,0.997506427435596,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"48",48,0.997804996357673,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"49",49,0.998067816008804,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"50",50,0.99829916684244,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"51",51,0.998502816790204,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"52",52,0.998682082628898,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"53",53,0.998839883999708,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"54",54,0.998978790959399,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"55",55,0.999101065837949,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"56",56,0.999208700084337,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"57",57,0.99930344670059,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"58",58,0.999386848792329,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"59",59,0.999460264700796,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"60",60,0.999524890125695,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"61",61,0.99958177759914,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"62",62,0.999631853627885,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"63",63,0.999675933783024,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"64",64,0.999714735982914,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"65",65,0.999748892185667,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"66",66,0.999778958681634,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"67",67,0.999805425153515,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"68",68,0.999828722651654,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"69",69,0.999849230614406,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"70",70,0.999867283047923,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"71",71,0.999883173965994,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"72",72,0.999897162178545,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"73",73,0.999909475506795,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"74",74,0.999920314493694,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"75",75,0.999929855670102,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"76",76,0.999938254429884,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"77",77,0.999945647560758,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
"78",78,0.999952155472109,"xizang",6.5,138.038426460288,7.84112370932112,-1.69897000433602
