"place"
"141km NNE of Palue, Indonesia"
"Bouvet Island region"
"36km SSW of Putre, Chile"
"60km E of Buldir Island, Alaska"
"Balleny Islands region"
"156km NW of Pangai, Tonga"
"259km ESE of Ishinomaki, Japan"
"South of the Fiji Islands"
"15km SE of Matias Romero, Mexico"
"86km NNW of Isangel, Vanuatu"
"280km ESE of Kamaishi, Japan"
"248km W of Auckland Island, New Zealand"
"2km NE of Ayutla, Mexico"
"98km SSW of Tres Picos, Mexico"
"250km WNW of Chichi-shima, Japan"
"150km SE of Visokoi Island, South Georgia and the South Sandwich Islands"
"21km ENE of Sungjibaegam, North Korea"
"71km NE of Muara Siberut, Indonesia"
"109km NE of Lorengau, Papua New Guinea"
"254km SE of Lambasa, Fiji"
"North of Ascension Island"
"71km W of Bengkulu, Indonesia"
"1km SE of Tuy, Philippines"
"109km SSE of Dostyq, Kazakhstan"
"36km WSW of Yongle, China"
"11km ENE of Kos, Greece"
"101km WNW of Camana, Peru"
"202km ESE of Nikol'skoye, Russia"
"183km ESE of Nikol'skoye, Russia"
"39km SSE of Taron, Papua New Guinea"
"204km NW of Auckland Island, New Zealand"
"2km S of Lim-oo, Philippines"
"28km SW of Puerto San Jose, Guatemala"
"South of the Fiji Islands"
"2km SSW of San Pablo, Guatemala"
"5km S of Plomarion, Greece"
"200km NW of Attu Station, Alaska"
"28km WNW of Kasiguncu, Indonesia"
"39km ENE of Rabaul, Papua New Guinea"
"78km SSW of Acajutla, El Salvador"
"95km ENE of Visokoi Island, South Georgia and the South Sandwich Islands"
"62km NE of Port-Olry, Vanuatu"
"34km WSW of Tanaga Volcano, Alaska"
"88km WNW of Skagway, Alaska"
"88km WNW of Skagway, Alaska"
"31km SW of Burias, Philippines"
"40km W of Valparaiso, Chile"
"63km SE of San Pedro de Atacama, Chile"
"61km NNW of Torbat-e Jam, Iran"
"132km WSW of Moijabana, Botswana"
"81km NNE of Ust'-Kamchatsk Staryy, Russia"
"63km W of Attu Station, Alaska"
"32km NW of Kandrian, Papua New Guinea"
"115km SSE of Panguna, Papua New Guinea"
"289km S of Ndoi Island, Fiji"
