"","country","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Alabama",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Alaska",1,2,2,2,2,1,14,30,16,15,14,34,7,15,15,13,19,18,21,30,27,18,21,20,18,3,17,10,22,7,13,19,36,18,16,9,14,20,22,22,12,12,24,24,8,10,168,176,177,133,156
"3","Alaska Peninsula",1,1,1,0,0,3,1,10,7,4,9,6,16,11,9,3,10,6,18,10,10,11,7,7,12,9,20,3,11,6,5,17,16,8,10,5,4,9,3,9,15,7,6,12,21,8,0,0,0,0,0
"4","Alaska region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5","Arizona",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"6","Arkansas",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7","Baja California",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","California",0,0,0,0,0,0,0,0,2,0,0,0,0,16,2,0,2,1,1,0,0,2,3,0,0,45,11,25,5,3,13,9,8,0,0,1,0,6,2,0,2,1,0,1,0,0,7,6,5,11,3
"9","Central Alaska",1,0,0,0,0,1,1,5,2,5,6,8,5,6,7,2,3,3,8,2,2,1,4,5,3,4,4,2,4,2,1,1,4,7,4,76,9,4,5,5,3,8,2,3,5,0,0,0,0,0,0
"10","Central California",0,0,0,0,0,0,0,2,7,3,1,3,3,20,5,3,19,11,7,28,2,3,1,1,2,0,1,1,1,2,0,3,2,1,2,0,3,7,0,0,1,0,0,0,2,1,0,0,0,0,0
